,Hip-Hop,Pop,Folk,Jazz,Metal,Electronic,Avant-Garde,Rock,Soul-RnB,International,Blues,Ambient,Experimental,Country,Hardcore,Classical,Old-Time / Historic,Instrumental,Alternative
Hip-Hop,71,3,2,0,1,49,1,23,1,0,1,1,4,0,0,0,0,0,1
Pop,9,0,5,0,0,15,1,19,0,0,0,0,1,0,0,0,0,1,0
Folk,3,0,30,0,0,12,1,30,0,0,1,2,7,0,0,4,4,1,0
Jazz,0,1,2,0,0,17,3,8,0,0,0,0,2,0,0,2,0,0,0
Metal,1,0,0,0,0,7,2,9,0,1,0,0,0,0,0,1,0,0,0
Electronic,29,3,10,6,2,244,7,50,2,4,4,6,16,0,1,3,1,3,6
Avant-Garde,1,0,1,2,0,10,0,6,0,1,0,1,3,0,0,1,2,1,0
Rock,14,6,20,2,5,48,3,236,2,4,3,3,4,3,2,1,2,2,2
Soul-RnB,1,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,1,0
International,0,0,1,0,0,5,0,13,1,1,0,0,0,0,0,0,0,0,0
Blues,0,0,0,0,0,3,0,3,0,2,0,0,1,0,0,0,0,0,0
Ambient,0,0,0,0,0,5,0,2,0,1,0,1,1,0,0,1,1,1,0
Experimental,3,1,3,2,1,24,4,19,0,0,0,0,3,0,1,1,1,0,1
Country,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Hardcore,0,0,0,0,1,5,0,4,1,0,1,0,0,0,0,0,0,0,0
Classical,0,0,5,2,0,3,2,2,0,0,0,1,0,0,0,20,0,1,0
Old-Time / Historic,0,0,4,1,0,3,2,0,0,0,0,1,3,0,0,0,24,0,0
Instrumental,1,0,1,1,0,8,0,4,0,0,0,0,2,0,0,0,0,1,0
Alternative,1,0,2,0,0,4,1,15,0,0,0,0,3,0,0,0,0,1,0
