h_layers,alpha,PCA,FS,SMOTE,OVERS,accuracy
40,0.1,False,False,False,False,0.29623606889564336
40,0.01,False,False,False,False,0.29623606889564336
40,0.001,False,False,False,False,0.29623606889564336
40,0.0001,False,False,False,False,0.29623606889564336
40,1e-05,False,False,False,False,0.29623606889564336
50,0.1,False,False,False,False,0.34115501519756836
50,0.01,False,False,False,False,0.34115501519756836
50,0.001,False,False,False,False,0.34115501519756836
50,0.0001,False,False,False,False,0.34115501519756836
50,1e-05,False,False,False,False,0.34115501519756836
60,0.1,False,False,False,False,0.36254305977710233
60,0.01,False,False,False,False,0.36254305977710233
60,0.001,False,False,False,False,0.36254305977710233
60,0.0001,False,False,False,False,0.36254305977710233
60,1e-05,False,False,False,False,0.36254305977710233
70,0.1,False,False,False,False,0.32901215805471123
70,0.01,False,False,False,False,0.32901215805471123
70,0.001,False,False,False,False,0.32901215805471123
70,0.0001,False,False,False,False,0.32901215805471123
70,1e-05,False,False,False,False,0.32901215805471123
80,0.1,False,False,False,False,0.3717933130699088
80,0.01,False,False,False,False,0.3717933130699088
80,0.001,False,False,False,False,0.3717933130699088
80,0.0001,False,False,False,False,0.3717933130699088
80,1e-05,False,False,False,False,0.3717933130699088
